,image_path,detection
0,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/14.jpg,760÷6-180
1,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1410.jpg,60÷4=15
2,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1411.jpg,650÷2=325
3,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1412.jpg,210÷7=30
4,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1413.jpg,849÷3=283
5,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1414.jpg,258÷3=86
6,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1415.jpg,720÷5=144
7,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1416.jpg,72÷4=18
8,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1417.jpg,38÷2=19
9,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1418.jpg,630÷3=210
10,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1419.jpg,300÷5=60
11,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/142.jpg,840÷7=120
12,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1420.jpg,780÷6=130
13,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1421.jpg,600÷2=300
14,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1422.jpg,81÷3=27
15,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1423.jpg,180÷2=90
16,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1424.jpg,800÷2=400
17,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1425.jpg,420÷2=210
18,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1426.jpg,660÷6=110
19,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1427.jpg,500÷1=500
20,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1428.jpg,300÷6=50
21,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1429.jpg,650÷5=130
22,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/143.jpg,320÷4=80
23,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1430.jpg,60÷5=12
24,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/1431.jpg,780÷6=130
25,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/144.jpg,650÷5=130
26,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/145.jpg,380÷2=190
27,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/146.jpg,48÷4=12
28,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/147.jpg,36÷3=12
29,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/148.jpg,240÷4=60
30,E:\CRNN\CRNN\Suanshi/runs\detect\exp\crops\equation/149.jpg,750÷5=150
