2021-12-03 22:28:28,432 INFO    MainThread:79896 [wandb_setup.py:_flush():71] setting env: {}
2021-12-03 22:28:28,433 INFO    MainThread:79896 [wandb_setup.py:_flush():71] setting login settings: {'api_key': '***REDACTED***'}
2021-12-03 22:28:28,433 INFO    MainThread:79896 [wandb_setup.py:_flush():71] setting login settings: {'api_key': '***REDACTED***'}
2021-12-03 22:28:28,433 INFO    MainThread:79896 [wandb_setup.py:_flush():71] setting login settings: {}
2021-12-03 22:28:28,433 INFO    MainThread:79896 [wandb_init.py:_log_setup():371] Logging user logs to C:\Users\Bowell\Desktop\DEEPLEARNING\data2(1)\Desktop\crnn-master\wandb\run-20211203_222828-1jsc76go\logs\debug.log
2021-12-03 22:28:28,433 INFO    MainThread:79896 [wandb_init.py:_log_setup():372] Logging internal logs to C:\Users\Bowell\Desktop\DEEPLEARNING\data2(1)\Desktop\crnn-master\wandb\run-20211203_222828-1jsc76go\logs\debug-internal.log
2021-12-03 22:28:28,434 INFO    MainThread:79896 [wandb_init.py:init():404] calling init triggers
2021-12-03 22:28:28,434 INFO    MainThread:79896 [wandb_init.py:init():409] wandb.init called with sweep_config: {}
config: {}
2021-12-03 22:28:28,434 INFO    MainThread:79896 [wandb_init.py:init():449] starting backend
2021-12-03 22:28:28,434 INFO    MainThread:79896 [backend.py:_multiprocessing_setup():95] multiprocessing start_methods=spawn, using: spawn
2021-12-03 22:28:28,441 INFO    MainThread:79896 [backend.py:ensure_launched():199] starting backend process...
2021-12-03 22:28:28,775 INFO    MainThread:79896 [backend.py:ensure_launched():204] started backend process with pid: 98132
2021-12-03 22:28:28,775 INFO    MainThread:79896 [wandb_init.py:init():458] backend started and connected
2021-12-03 22:28:28,776 INFO    MainThread:79896 [wandb_init.py:init():519] updated telemetry
2021-12-03 22:28:28,783 INFO    MainThread:79896 [wandb_init.py:init():549] communicating current version
2021-12-03 22:28:30,838 INFO    MainThread:79896 [wandb_init.py:init():554] got version response 
2021-12-03 22:28:30,838 INFO    MainThread:79896 [wandb_init.py:init():564] communicating run to backend with 30 second timeout
2021-12-03 22:28:31,117 INFO    MainThread:79896 [wandb_init.py:init():592] starting run threads in backend
