               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10708,             0.20559,                   0,            0.031111,             0.31111,            0.021526,           0.0037407,            0.085216,             0.14849,                   0,             0.00033,             0.00033,             0.09703
                   1,            0.098552,             0.22817,                   0,            0.027222,             0.27222,            0.017948,           0.0033197,            0.081853,             0.15852,                   0,          0.00066998,          0.00066998,             0.09397
                   2,            0.094712,             0.23978,                   0,            0.029444,             0.29444,            0.020076,           0.0037844,            0.081821,             0.16134,                   0,           0.0010099,           0.0010099,             0.09091
                   3,            0.093265,             0.23595,                   0,            0.037377,             0.17222,            0.023735,           0.0046182,             0.08226,             0.15986,                   0,           0.0013497,           0.0013497,             0.08785
                   4,            0.090828,             0.21751,                   0,             0.30497,             0.33885,             0.23756,             0.04858,            0.075063,             0.15359,                   0,           0.0016893,           0.0016893,            0.084789
                   5,            0.086103,             0.21603,                   0,             0.18916,             0.38333,             0.15104,            0.029979,            0.080974,             0.18924,                   0,           0.0020287,           0.0020287,            0.081729
                   6,            0.082523,              0.2054,                   0,             0.33104,             0.64444,             0.31494,            0.081444,            0.074311,             0.15657,                   0,           0.0023679,           0.0023679,            0.078668
                   7,            0.076754,             0.19462,                   0,             0.75524,             0.53333,             0.59463,             0.15526,            0.068379,             0.12347,                   0,           0.0027067,           0.0027067,            0.075607
                   8,            0.073358,             0.18821,                   0,             0.71267,              0.7441,             0.71401,             0.23036,            0.062665,             0.10754,                   0,           0.0030452,           0.0030452,            0.072545
                   9,             0.07161,             0.18716,                   0,              0.3153,             0.43333,             0.28346,            0.062307,            0.071657,             0.14957,                   0,           0.0033832,           0.0033832,            0.069483
                  10,             0.07053,             0.17523,                   0,             0.78798,             0.76667,             0.81502,             0.27374,            0.060162,             0.10279,                   0,           0.0037208,           0.0037208,            0.066421
                  11,             0.06913,             0.16804,                   0,             0.88461,             0.89443,             0.92449,             0.32614,            0.056762,             0.10149,                   0,           0.0040579,           0.0040579,            0.063358
                  12,            0.067353,             0.16474,                   0,              0.8229,             0.87768,             0.85776,              0.3329,            0.053448,            0.099274,                   0,           0.0043944,           0.0043944,            0.060294
                  13,            0.064814,             0.15653,                   0,             0.78214,             0.73797,             0.74683,             0.34164,            0.054886,             0.11913,                   0,           0.0047302,           0.0047302,             0.05723
                  14,            0.064742,             0.16785,                   0,             0.20638,             0.19444,            0.086667,            0.019948,            0.079538,             0.37523,                   0,           0.0050654,           0.0050654,            0.054165
                  15,            0.068829,             0.17129,                   0,               0.676,             0.85774,             0.71686,             0.19778,            0.055384,            0.091319,                   0,           0.0053999,           0.0053999,              0.0511
                  16,            0.068845,             0.15915,                   0,             0.11642,             0.17778,            0.069442,            0.016632,            0.074653,             0.16352,                   0,           0.0057336,           0.0057336,            0.048034
                  17,            0.065975,             0.16011,                   0,             0.59914,             0.58333,             0.55276,             0.19151,            0.062891,             0.15639,                   0,           0.0060665,           0.0060665,            0.044967
                  18,            0.063748,             0.16039,                   0,             0.77093,             0.80398,             0.75427,             0.22987,            0.056767,             0.12279,                   0,           0.0063986,           0.0063986,            0.041899
                  19,            0.063541,             0.15335,                   0,             0.81253,              0.7705,              0.7688,             0.36907,             0.05589,             0.11292,                   0,           0.0067297,           0.0067297,             0.03883
                  20,            0.063408,             0.15957,                   0,             0.70084,             0.41648,             0.47211,             0.13009,            0.075114,             0.17503,                   0,           0.0070599,           0.0070599,             0.03576
